"","ID","label","type","Defs","Pref","label.final","label.nospace"
"53","obo.BSPO_0000033","deep region","class","Anatomical region located deep within an organism or structure.","BSPO","deep_region","deep_region"
"54","obo.BSPO_0000034","superficial region","class","Anatomical region superficially located on the body or body part.","BSPO","superficial_region","superficial_region"
"55","obo.BSPO_0000035","postero-ventral region","class","Anatomical region that overlaps the posterior and ventral regions of a body or body part.","BSPO","postero-ventral_region","postero-ventral_region"
"56","obo.BSPO_0000036","anterior-most region","class","na","BSPO","anterior-most_region","anterior-most_region"
"57","obo.BSPO_0000037","posterior-most region","class","na","BSPO","posterior-most_region","posterior-most_region"
"58","obo.BSPO_0000038","dorsal-most region","class","na","BSPO","dorsal-most_region","dorsal-most_region"
"59","obo.BSPO_0000039","ventral-most region","class","na","BSPO","ventral-most_region","ventral-most_region"
"60","obo.BSPO_0000040","upper/lower compartment boundary","class","na","BSPO","upper/lower_compartment_boundary","upper/lower_compartment_boundary"
"61","obo.BSPO_0000092","anatomical compartment boundary","class","na","BSPO","anatomical_compartment_boundary","anatomical_compartment_boundary"
"62","obo.BSPO_0000041","deep/superficial compartment boundary","class","na","BSPO","deep/superficial_compartment_boundary","deep/superficial_compartment_boundary"
"63","obo.BSPO_0000042","antero-medial margin","class","Anatomical margin that is located on the antero-medial region of the body or body part.","BSPO","antero-medial_margin","antero-medial_margin"
"64","obo.BSPO_0000067","medial side","class","na","BSPO","medial_side","medial_side"
"65","obo.BSPO_0000050","antero-medial region","class","Anatomical region that overlaps the anterior and medial regions of the body or body part.","BSPO","antero-medial_region","antero-medial_region"
"66","obo.BSPO_0000671","anterior margin","class","Anatomical margin that is located on the anterior side of a body or body part.","BSPO","anterior_margin","anterior_margin"
"67","obo.BSPO_0000683","medial margin","class","Anatomical margin that is located on the medial side of the body or body part.","BSPO","medial_margin","medial_margin"
"68","obo.BSPO_0000043","apical/basal compartment boundary","class","na","BSPO","apical/basal_compartment_boundary","apical/basal_compartment_boundary"
"69","obo.BSPO_0000044","proximal/distal compartment boundary","class","na","BSPO","proximal/distal_compartment_boundary","proximal/distal_compartment_boundary"
"70","obo.BSPO_0000045","antero-lateral margin","class","Anatomical margin that is located on the antero-lateral region of the body or body part.","BSPO","antero-lateral_margin","antero-lateral_margin"
"71","obo.BSPO_0000682","lateral margin","class","Anatomical margin that is located on the lateral side of the body or body part.","BSPO","lateral_margin","lateral_margin"
"72","obo.BSPO_0000046","postero-medial margin","class","Anatomical margin that is located on the postero-medial region of the body or body part.","BSPO","postero-medial_margin","postero-medial_margin"
"73","obo.BSPO_0000064","postero-medial region","class","Anatomical region that overlaps the posterior and medial regions of the body or body part.","BSPO","postero-medial_region","postero-medial_region"
"74","obo.BSPO_0000672","posterior margin","class","Anatomical margin that is located on the posterior side of the body or body part.","BSPO","posterior_margin","posterior_margin"
"75","obo.BSPO_0000047","postero-lateral margin","class","Anatomical margin that is located on the postero-lateral region of the body or body part.","BSPO","postero-lateral_margin","postero-lateral_margin"
"76","obo.BSPO_0000048","dorso-medial margin","class","Anatomical margin that is located on the dorso-medial region of the body or body part.","BSPO","dorso-medial_margin","dorso-medial_margin"
"77","obo.BSPO_0000069","dorso-medial region","class","Anatomical region that overlaps the dorsal and medial regions of the body or body part.","BSPO","dorso-medial_region","dorso-medial_region"
"78","obo.BSPO_0000679","dorsal margin","class","Anatomical margin that is located on the dorsal side of body or body part.","BSPO","dorsal_margin","dorsal_margin"
"79","obo.BSPO_0000049","ventro-medial margin","class","Anatomical margin that is located on the ventro-medial region of the body or body part.","BSPO","ventro-medial_margin","ventro-medial_margin"
"80","obo.BSPO_0000112","ventro-medial region","class","The region corresponding to the ventral region of the entity, towards the midline.","BSPO","ventro-medial_region","ventro-medial_region"
"81","obo.BSPO_0000684","ventral margin","class","Anatomical margin that is located on the ventral side of the body or body part.","BSPO","ventral_margin","ventral_margin"
"82","obo.BSPO_0000083","medial region","class","Anatomical region medially located on the body or body part.","BSPO","medial_region","medial_region"
"83","obo.CARO_0000006","material anatomical entity","class","An anatomical entity that has mass.","BSPO","material_anatomical_entity","material_anatomical_entity"
"84","obo.BSPO_0000052","anterior-posterior gradient","class","Anatomical gradient that is distributed along the anterior-posterior axis.","BSPO","anterior-posterior_gradient","anterior-posterior_gradient"
"85","obo.BSPO_0000053","dorsal-ventral gradient","class","Anatomical gradient that is distributed along the dorsal-ventral axis.","BSPO","dorsal-ventral_gradient","dorsal-ventral_gradient"
"86","obo.BSPO_0000057","apical side","class","Anatomical side that is located on the apical end of an organism or structure.","BSPO","apical_side","apical_side"
"87","obo.BSPO_0000058","basal side","class","Anatomical side that is located on the basal end of an organism or structure.","BSPO","basal_side","basal_side"
"88","obo.BSPO_0000059","central side","class","Anatomical side that is centrally located on an organism or structure.","BSPO","central_side","central_side"
"89","obo.BSPO_0000060","contralateral side","class","On the opposite side.","BSPO","contralateral_side","contralateral_side"
"90","obo.BSPO_0000061","proximal side","class","na","BSPO","proximal_side","proximal_side"
"91","obo.BSPO_0000062","distal side","class","Anatomical side that is distally located on an organism or structure.","BSPO","distal_side","distal_side"
"92","obo.BSPO_0000065","ipsilateral side","class","On the same side","BSPO","ipsilateral_side","ipsilateral_side"
"93","obo.CARO_0000003","anatomical structure","class","Material anatomical entity that is a single connected structure with inherent 3D shape generated by coordinated expression of the organism\'s own genome.","BSPO","anatomical_structure","anatomical_structure"
"94","obo.BSPO_0000073","apical region","class","Anatomical region located on the apical end on the body or body part.","BSPO","apical_region","apical_region"
"95","obo.BSPO_0000074","basal region","class","Anatomical region located basally on the body or body part.","BSPO","basal_region","basal_region"
"96","obo.BSPO_0000075","central region","class","Anatomical region centrally located on the body or body part.","BSPO","central_region","central_region"
"97","obo.BSPO_0000076","contralateral region","class","na","BSPO","contralateral_region","contralateral_region"
"98","obo.BSPO_0000077","proximal region","class","Anatomical region proximally located on the body or body part.","BSPO","proximal_region","proximal_region"
"99","obo.BSPO_0000078","distal region","class","Anatomical region distally located on the body or body part.","BSPO","distal_region","distal_region"
"100","obo.BSPO_0000080","dorso-lateral region","class","Anatomical region that overlaps the dorsal and lateral regions of a body or body part.","BSPO","dorso-lateral_region","dorso-lateral_region"
"101","obo.BSPO_0000081","ipsilateral region","class","na","BSPO","ipsilateral_region","ipsilateral_region"
"102","obo.BSPO_0000085","ventro-lateral region","class","Anatomical region that overlaps the ventral and lateral regions of a body or body part.","BSPO","ventro-lateral_region","ventro-lateral_region"
"103","obo.BSPO_0000086","anatomical compartment","class","na","BSPO","anatomical_compartment","anatomical_compartment"
"104","obo.BSPO_0000087","anterior compartment","class","na","BSPO","anterior_compartment","anterior_compartment"
"105","obo.BSPO_0000088","compartment boundary","class","na","BSPO","compartment_boundary","compartment_boundary"
"106","obo.BSPO_0000089","dorsal compartment","class","na","BSPO","dorsal_compartment","dorsal_compartment"
"107","obo.BSPO_0000090","posterior compartment","class","na","BSPO","posterior_compartment","posterior_compartment"
"108","obo.BSPO_0000091","ventral compartment","class","na","BSPO","ventral_compartment","ventral_compartment"
"109","obo.BSPO_0000093","anterior/posterior compartment boundary","class","na","BSPO","anterior/posterior_compartment_boundary","anterior/posterior_compartment_boundary"
"110","obo.BSPO_0000094","dorsal/ventral compartment boundary","class","na","BSPO","dorsal/ventral_compartment_boundary","dorsal/ventral_compartment_boundary"
"111","obo.BSPO_0000127","peripheral region","class","Anatomical region peripherally located on the body or body part.","BSPO","peripheral_region","peripheral_region"
"112","obo.BSPO_0000129","peripheral side","class","na","BSPO","peripheral_side","peripheral_side"
"113","obo.BSPO_0000128","axial region","class","na","BSPO","axial_region","axial_region"
"114","obo.BSPO_0000130","axial side","class","na","BSPO","axial_side","axial_side"
"115","obo.BSPO_0000195","adaxial-abaxial axis","class","An anatomical axis that extends from the side of the anatomical entity that is closer to an axis (adaxial) to the side that is further from the same axis (abaxial).","BSPO","adaxial-abaxial_axis","adaxial-abaxial_axis"
"116","obo.BSPO_0000196","medial-external axis","class","An anatomical axis that extends from the center of the body outwards or externally.","BSPO","medial-external_axis","medial-external_axis"
"117","obo.BSPO_0000197","medial-radial axis","class","An anatomical axis that is perpendicular to an apical/basal axis or proximal/distal axis and extends from the center of an axis (shoot axis or root in the case of plants) to any point on the exterior of the axis.","BSPO","medial-radial_axis","medial-radial_axis"
"118","obo.BSPO_0000198","oral-aboral axis","class","An axis that extends from the oral opening to the furthest point in an organism that is directly opposite.","BSPO","oral-aboral_axis","oral-aboral_axis"
"119","obo.BSPO_0000199","animal-vegetal axis","class","An axis that extends from the animal end of an egg or early embryo to the opposite, vegetal end. In animals with yolk-bearing eggs, the vegetal end is the yolk bearing pole. (pertains to animals only - both vertebrate and invertebrate embryos).","BSPO","animal-vegetal_axis","animal-vegetal_axis"
"120","obo.BSPO_0000200","apical-basal axis relative to direction of growth","class","An axis of a plant structure that is determined by the direction of apical growth, either by an apical meristem or an apical cell. Apical is toward the direction of apical growth: toward the tip of a growing shoot axis, root, thallus, or non-vascular leaf. Basal is away from the direction of apical growth: toward the root-shoot junction in the case of the primary root or stem, toward the primary root or stem for higher order roots or branches, toward the point of attachment for non-vascular leaves, and toward the original point of growth (as determined in the embryo) for thalli.","BSPO","apical-basal_axis_relative_to_direction_of_growth","apical-basal_axis_relative_to_direction_of_growth"
"121","obo.BSPO_0000201","tangential plane","class","Anatomical plane that is perpendicular to a radial plane.","BSPO","tangential_plane","tangential_plane"
"122","obo.BSPO_0000202","radial plane","class","Anatomical plane that follows the two dimensions specified by an apical-basal axis relative to direction of growth and a medial-lateral axis.","BSPO","radial_plane","radial_plane"
"123","obo.BSPO_0000371","anterior surface","class","Anatomical surface that is located on the anterior side of the body or body part.","BSPO","anterior_surface","anterior_surface"
"124","obo.BSPO_0000372","posterior surface","class","Anatomical surface that is located on the posterior side of the body or body part.","BSPO","posterior_surface","posterior_surface"
"125","obo.BSPO_0000373","apical surface","class","Anatomical surface that is located on the apical side of the body or body part.","BSPO","apical_surface","apical_surface"
"126","obo.BSPO_0000374","basal surface","class","Anatomical surface that is located on the basal side of the body or body part.","BSPO","basal_surface","basal_surface"
"127","obo.BSPO_0000376","contralateral surface","class","na","BSPO","contralateral_surface","contralateral_surface"
"128","obo.BSPO_0000377","proximal surface","class","Anatomical surface that is located on the proximal side of the body or body part.","BSPO","proximal_surface","proximal_surface"
"129","obo.BSPO_0000378","distal surface","class","Anatomical surface that is located on the distal side of the body or body part.","BSPO","distal_surface","distal_surface"
"130","obo.BSPO_0000379","dorsal surface","class","Anatomical surface that located on the dorsal side of the body or body part.","BSPO","dorsal_surface","dorsal_surface"
"131","obo.BSPO_0000381","ipsilateral surface","class","Anatomical surface that is located on the same side of an organism or structure.","BSPO","ipsilateral_surface","ipsilateral_surface"
"132","obo.BSPO_0000382","lateral surface","class","Anatomical surface that located on the lateral side of the body or body part.","BSPO","lateral_surface","lateral_surface"
"133","obo.BSPO_0000383","medial surface","class","Anatomical surface that located on the medial side of the body or body part.","BSPO","medial_surface","medial_surface"
"134","obo.BSPO_0000384","ventral surface","class","Anatomical surface that is located on the ventral side of the body or body part.","BSPO","ventral_surface","ventral_surface"
"135","obo.BSPO_0000673","apical margin","class","Anatomical margin that is located on the apical side of the body or body part.","BSPO","apical_margin","apical_margin"
"136","obo.BSPO_0000674","basal margin","class","Anatomical margin that is located on the basal side of the body or body part.","BSPO","basal_margin","basal_margin"
"137","obo.BSPO_0000677","proximal margin","class","Anatomical margin that is located on the proximal region of the body or body part.","BSPO","proximal_margin","proximal_margin"
"138","obo.BSPO_0000678","distal margin","class","Anatomical margin that is located on the distal side of the body or body part.","BSPO","distal_margin","distal_margin"
"139","obo.BSPO_0000680","dorso-lateral margin","class","Anatomical margin that is located on the dorso-lateral region of the body or body part.","BSPO","dorso-lateral_margin","dorso-lateral_margin"
"140","obo.BSPO_0000685","ventro-lateral margin","class","Anatomical margin that is located on the ventro-lateral region of the body or body part.","BSPO","ventro-lateral_margin","ventro-lateral_margin"
"141","obo.BSPO_0000686","antero-dorsal margin","class","Anatomical margin that is located on the antero-dorso region of the body or body part.","BSPO","antero-dorsal_margin","antero-dorsal_margin"
"142","obo.BSPO_0000687","postero-dorsal margin","class","Anatomical margin that is located on the postero-dorsal region of the body or body part.","BSPO","postero-dorsal_margin","postero-dorsal_margin"
"143","obo.BSPO_0000688","antero-ventral margin","class","Anatomical margin that is located on the antero-ventral region of the body or body part.","BSPO","antero-ventral_margin","antero-ventral_margin"
"144","obo.BSPO_0000689","postero-ventral margin","class","Anatomical margin that is located on the postero-ventral region of the body or body part.","BSPO","postero-ventral_margin","postero-ventral_margin"
"145","obo.BSPO_0001001","medial-lateral axis","class","An axis that extends from the center of organism to one or other side.","BSPO","medial-lateral_axis","medial-lateral_axis"
"146","obo.CARO_0000007","immaterial anatomical entity","class","An anatomical entity that has no mass.","BSPO","immaterial_anatomical_entity","immaterial_anatomical_entity"
"147","obo.BFO_0000050","part of","prop","na","BSPO","part_of","part_of.($1)$2"
"148","obo.BFO_0000051","has part","prop","na","BSPO","has_part","has_part.($1)$2"
"149","obo.BSPO_0000095","anatomical relation","prop","na","BSPO","anatomical_relation","anatomical_relation.($1)$2"
"150","obo.BSPO_0000096","anterior to","prop","x anterior to y iff x is further along the antero-posterior axis than y, towards the head. An antero-posterior axis is an axis that extends through an organism from head end to opposite end of body or tail.","BSPO","anterior_to","anterior_to.($1)$2"
"151","obo.BSPO_0000099","posterior to","prop","x posterior to y iff x is further along the antero-posterior axis than y, towards the body/tail. An antero-posterior axis is an axis that extends through an organism from head end to opposite end of body or tail.","BSPO","posterior_to","posterior_to.($1)$2"
"152","obo.BSPO_0000097","distal to","prop","x distal to y iff x is further along the proximo-distal axis than y, towards the appendage tip. A proximo-distal axis extends from tip of an appendage (distal) to where it joins the body (proximal).","BSPO","distal_to","distal_to.($1)$2"
"153","obo.BSPO_0000100","proximal to","prop","x proximal to y iff x is closer to the point of attachment with the body than y.","BSPO","proximal_to","proximal_to.($1)$2"
"154","obo.BSPO_0000098","dorsal to","prop","x dorsal to y iff x is further along the dorso-ventral axis than y, towards the back. A dorso-ventral axis is an axis that extends through an organism from back (e.g. spinal column) to front (e.g. belly).","BSPO","dorsal_to","dorsal_to.($1)$2"
"155","obo.BSPO_0000102","ventral to","prop","x ventral to y iff x is further along the dorso-ventral axis than y, towards the front. A dorso-ventral axis is an axis that extends through an organism from back (e.g. spinal column) to front (e.g. belly).","BSPO","ventral_to","ventral_to.($1)$2"
"156","obo.BSPO_0000101","obsolete surrounds","prop","na","BSPO","obsolete_surrounds","obsolete_surrounds.($1)$2"
"157","obo.BSPO_0000103","vicinity of","prop","na","BSPO","vicinity_of","vicinity_of.($1)$2"
"158","obo.BSPO_0000104","approximately perpendicular to","prop","Crosses at an angle that is 90 degrees, or close to 90 degrees. In any non-linear organism, the main axes are rarely perpendicular when taken through the organism as a whole.","BSPO","approximately_perpendicular_to","approximately_perpendicular_to.($1)$2"
"159","obo.BSPO_0000105","ipsilateral to","prop","On the same side as. For example, the left arm is ipsilateral to the left leg.","BSPO","ipsilateral_to","ipsilateral_to.($1)$2"
"160","obo.BSPO_0000126","in lateral side of","prop","X in lateral side of Y <=> if X is in left side of Y or X is in right side of Y. X is often, but not always a paired structure","BSPO","in_lateral_side_of","in_lateral_side_of.($1)$2"
"161","obo.BSPO_0000106","contralateral to","prop","On the opposite side from. For example, the left arm is contralateral to the right arm (and the right leg).","BSPO","contralateral_to","contralateral_to.($1)$2"
"162","obo.BSPO_0000107","deep to","prop","Further away from the surface of the organism. Thus, the muscular layer is deep to the skin, but superficial to the intestines.","BSPO","deep_to","deep_to.($1)$2"
"163","obo.BSPO_0000108","superficial to","prop","Near the outer surface of the organism. Thus, skin is superficial to the muscle layer.","BSPO","superficial_to","superficial_to.($1)$2"
"164","obo.BSPO_0000109","obsolete surrounded_by","prop","na","BSPO","obsolete_surrounded_by","obsolete_surrounded_by.($1)$2"
"165","obo.BSPO_0000110","left of","prop","Closer to the left side of the organism. Example: The dorsal fin is right of the left pectoral fin, but is left of the right eye. On the type level: X left of Y <=> every instance x of X is left of some instance y of Y, and there exists some organism o such that x part of o and y part of o.","BSPO","left_of","left_of.($1)$2"
"166","obo.BSPO_0000111","right of","prop","Closer to the right side of the organism. Example: The dorsal fin is right of the left pectoral fin, but is left of the right eye. On the type level: X left of Y <=> every instance x of X is right of some instance y of Y, and there exists some organism o such that x part of o and y part of o.","BSPO","right_of","right_of.($1)$2"
"167","obo.BSPO_0000113","opposite to","prop","Direcly opposite to. i.e. on the opposite side through the axis.","BSPO","opposite_to","opposite_to.($1)$2"
"168","obo.BSPO_0000120","in left side of","prop","X in left side of Y <=> if Y is subdivided into two left and right portions, X is part of the left portion.","BSPO","in_left_side_of","in_left_side_of.($1)$2"
"169","obo.BSPO_0000121","in right side of","prop","X in right side of Y <=> if Y is subdivided into two left and right portions, X is part of the right portion.","BSPO","in_right_side_of","in_right_side_of.($1)$2"
"170","obo.BSPO_0000122","in posterior side of","prop","X posterior side of Y <=> if Y is subdivided into two anterior and posterior portions, X is part of the posterior portion.","BSPO","in_posterior_side_of","in_posterior_side_of.($1)$2"
"171","obo.BSPO_0000123","in anterior side of","prop","X anterior side of Y <=> if Y is subdivided into two anterior and posterior portions, X is part of the anterior portion.","BSPO","in_anterior_side_of","in_anterior_side_of.($1)$2"
"172","obo.BSPO_0000124","in proximal side of","prop","x in proximal side of y <=> if y is subdivided into two proximal and distal portions, y is part of the proximal portion.","BSPO","in_proximal_side_of","in_proximal_side_of.($1)$2"
"173","obo.BSPO_0000125","in distal side of","prop","x in distal side of y <=> if y is subdivided into two proximal and distal portions, y is part of the distal portion.","BSPO","in_distal_side_of","in_distal_side_of.($1)$2"
"174","obo.BSPO_0001100","in superficial part of","prop","X superficial part of Y <=> if Y is subdivided into two superficial and deep portions, X is part of the superficial portion.","BSPO","in_superficial_part_of","in_superficial_part_of.($1)$2"
"175","obo.BSPO_0001101","in deep part of","prop","X superficial part of Y <=> if Y is subdivided into two superficial and deep portions, X is part of the deep portion.","BSPO","in_deep_part_of","in_deep_part_of.($1)$2"
"176","obo.BSPO_0001106","proximalmost part of","prop","X proximalmost part of Y <=> X is in proximal side of Y and X is adjacent to the proximal boundary of Y","BSPO","proximalmost_part_of","proximalmost_part_of.($1)$2"
"177","obo.BSPO_0001107","immediately deep to","prop","x immediately deep to y iff x deep_to y and x is contiguous with y.","BSPO","immediately_deep_to","immediately_deep_to.($1)$2"
"178","obo.BSPO_0015014","immediately superficial to","prop","x immediately superficial to y iff x superficial to y and x is contiguous with y.","BSPO","immediately_superficial_to","immediately_superficial_to.($1)$2"
"179","obo.BSPO_0001108","distalmost part of","prop","X distalmost part of Y <=> X is in distal side of Y and X is adjacent to the distal boundary of Y","BSPO","distalmost_part_of","distalmost_part_of.($1)$2"
"180","obo.BSPO_0001113","preaxialmost part of","prop","na","BSPO","preaxialmost_part_of","preaxialmost_part_of.($1)$2"
"181","obo.BSPO_0001114","postaxial to","prop","x preaxial to y iff x is further along the preaxial-postaxial axis than y, towards the postaxial side.","BSPO","postaxial_to","postaxial_to.($1)$2"
"182","obo.BSPO_0001115","postaxialmost part of","prop","na","BSPO","postaxialmost_part_of","postaxialmost_part_of.($1)$2"
"183","obo.BSPO_0005001","intersects midsagittal plane of","prop","X intersects median plane of iff X crosses the midine plane of Y.","BSPO","intersects_midsagittal_plane_of","intersects_midsagittal_plane_of.($1)$2"
"184","obo.BSPO_0015001","finishes axis","prop","na","BSPO","finishes_axis","finishes_axis.($1)$2"
"185","obo.BSPO_0015002","follows axis","prop","na","BSPO","follows_axis","follows_axis.($1)$2"
"186","obo.BSPO_0015003","has axis","prop","na","BSPO","has_axis","has_axis.($1)$2"
"187","obo.BSPO_0015004","has end point","prop","A relation between an axis and a part of an organism, in which the part defines the initial point of the axis.","BSPO","has_end_point","has_end_point.($1)$2"
"188","obo.BSPO_0015005","orthogonal to","prop","crossing at right angles","BSPO","orthogonal_to","orthogonal_to.($1)$2"
"189","obo.BSPO_0015006","passes through","prop","Intersects at two points.","BSPO","passes_through","passes_through.($1)$2"
"190","obo.BSPO_0015007","starts axis","prop","na","BSPO","starts_axis","starts_axis.($1)$2"
"191","obo.BSPO_0015008","surface of","prop","na","BSPO","surface_of","surface_of.($1)$2"
